Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Enterobacter],Enterobacter,148,148,94%,2e-41,49.36,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074173060.1?report=genbank&log$=prottop&blast_rank=39&RID=SJKFDJXZ016"",""WP_074173060.1"")"
hypothetical protein CGU43_13370 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,147,147,91%,2e-41,50.34,159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OZO23840.1?report=genbank&log$=prottop&blast_rank=40&RID=SJKFDJXZ016"",""OZO23840.1"")"
hypothetical protein [Rhizobium leguminosarum],Rhizobium leguminosarum,147,147,97%,2e-41,45.51,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB5664774.1?report=genbank&log$=prottop&blast_rank=41&RID=SJKFDJXZ016"",""MBB5664774.1"")"
hypothetical protein [Enterobacter asburiae],Enterobacter asburiae,148,148,92%,2e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127851188.1?report=genbank&log$=prottop&blast_rank=42&RID=SJKFDJXZ016"",""WP_127851188.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,148,148,92%,2e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072205425.1?report=genbank&log$=prottop&blast_rank=43&RID=SJKFDJXZ016"",""WP_072205425.1"")"
hypothetical protein [Staphylococcus saprophyticus],Staphylococcus saprophyticus,150,150,87%,3e-41,47.68,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDW3922226.1?report=genbank&log$=prottop&blast_rank=44&RID=SJKFDJXZ016"",""MDW3922226.1"")"
hypothetical protein [Methylobacterium sp. WL19],Methylobacterium sp. WL19,147,147,92%,3e-41,48.34,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147828928.1?report=genbank&log$=prottop&blast_rank=45&RID=SJKFDJXZ016"",""WP_147828928.1"")"
hypothetical protein [Phytobacter diazotrophicus],Phytobacter diazotrophicus,148,148,92%,3e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317078840.1?report=genbank&log$=prottop&blast_rank=46&RID=SJKFDJXZ016"",""WP_317078840.1"")"
hypothetical protein [Enterobacter cloacae],Enterobacter cloacae,148,148,92%,3e-41,49.67,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EMC0022453.1?report=genbank&log$=prottop&blast_rank=47&RID=SJKFDJXZ016"",""EMC0022453.1"")"
hypothetical protein SS16_23655 [Enterobacter hormaechei subsp. xiangfangensis],Enterobacter hormaechei subsp. xiangfangensis,148,148,93%,3e-41,50.00,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJM68026.1?report=genbank&log$=prottop&blast_rank=48&RID=SJKFDJXZ016"",""KJM68026.1"")"
hypothetical protein [Enterobacter hormaechei],Enterobacter hormaechei,148,148,92%,3e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211988696.1?report=genbank&log$=prottop&blast_rank=49&RID=SJKFDJXZ016"",""WP_211988696.1"")"
hypothetical protein [Paraburkholderia bannensis],Paraburkholderia bannensis,148,148,92%,3e-41,48.15,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042297110.1?report=genbank&log$=prottop&blast_rank=50&RID=SJKFDJXZ016"",""WP_042297110.1"")"
hypothetical protein [Methylobacterium planeticum],Methylobacterium planeticum,147,147,96%,4e-41,49.38,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150966793.1?report=genbank&log$=prottop&blast_rank=51&RID=SJKFDJXZ016"",""WP_150966793.1"")"
hypothetical protein [Streptomyces sp. JV185],Streptomyces sp. JV185,147,147,89%,4e-41,53.33,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_329821235.1?report=genbank&log$=prottop&blast_rank=52&RID=SJKFDJXZ016"",""WP_329821235.1"")"
TPA: hypothetical protein [Escherichia coli],Escherichia coli,147,147,92%,5e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDX1826341.1?report=genbank&log$=prottop&blast_rank=53&RID=SJKFDJXZ016"",""HDX1826341.1"")"
hypothetical protein [Armatimonadota bacterium],Armatimonadota bacterium,146,146,96%,5e-41,48.80,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCH8978472.1?report=genbank&log$=prottop&blast_rank=54&RID=SJKFDJXZ016"",""MCH8978472.1"")"
hypothetical protein [Comamonas testosteroni],Comamonas testosteroni,147,147,87%,5e-41,50.35,197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_302090820.1?report=genbank&log$=prottop&blast_rank=55&RID=SJKFDJXZ016"",""WP_302090820.1"")"
hypothetical protein [Bacteroidales bacterium],Bacteroidales bacterium,147,147,92%,5e-41,48.45,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBR4300053.1?report=genbank&log$=prottop&blast_rank=56&RID=SJKFDJXZ016"",""MBR4300053.1"")"
hypothetical protein E2C11_16535 [Streptomyces lavendulae],Streptomyces lavendulae,149,149,91%,5e-41,50.97,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TXJ78613.1?report=genbank&log$=prottop&blast_rank=57&RID=SJKFDJXZ016"",""TXJ78613.1"")"
hypothetical protein [Achromobacter xylosoxidans],Achromobacter xylosoxidans,147,147,91%,6e-41,49.67,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157140531.1?report=genbank&log$=prottop&blast_rank=58&RID=SJKFDJXZ016"",""WP_157140531.1"")"
hypothetical protein [Enterobacter],Enterobacter,147,147,92%,6e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_182060588.1?report=genbank&log$=prottop&blast_rank=59&RID=SJKFDJXZ016"",""WP_182060588.1"")"
hypothetical protein [Ruania suaedae],Ruania suaedae,145,145,89%,7e-41,51.57,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_231054376.1?report=genbank&log$=prottop&blast_rank=60&RID=SJKFDJXZ016"",""WP_231054376.1"")"
hypothetical protein [Enterobacter ludwigii],Enterobacter ludwigii,147,147,92%,8e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_279796258.1?report=genbank&log$=prottop&blast_rank=61&RID=SJKFDJXZ016"",""WP_279796258.1"")"
hypothetical protein [Enterobacter],Enterobacter,147,147,92%,9e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025760108.1?report=genbank&log$=prottop&blast_rank=62&RID=SJKFDJXZ016"",""WP_025760108.1"")"
hypothetical protein [Enterobacteriaceae],Enterobacteriaceae,147,147,92%,9e-41,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072205166.1?report=genbank&log$=prottop&blast_rank=63&RID=SJKFDJXZ016"",""WP_072205166.1"")"
hypothetical protein [Achromobacter xylosoxidans],Achromobacter xylosoxidans,147,147,91%,1e-40,49.67,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155873447.1?report=genbank&log$=prottop&blast_rank=64&RID=SJKFDJXZ016"",""WP_155873447.1"")"
hypothetical protein [Mammaliicoccus sp. D-M17],Mammaliicoccus sp. D-M17,149,149,87%,1e-40,47.02,285,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_239700372.1?report=genbank&log$=prottop&blast_rank=65&RID=SJKFDJXZ016"",""WP_239700372.1"")"
hypothetical protein [Enterobacter kobei],Enterobacter kobei,146,146,93%,2e-40,48.70,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENU3990694.1?report=genbank&log$=prottop&blast_rank=66&RID=SJKFDJXZ016"",""ENU3990694.1"")"
hypothetical protein [Enterobacter cloacae complex sp. 2021EL-01169],Enterobacter cloacae complex sp. 2021EL-01169,146,146,92%,2e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_227879327.1?report=genbank&log$=prottop&blast_rank=67&RID=SJKFDJXZ016"",""WP_227879327.1"")"
hypothetical protein CD800_16495 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,146,146,91%,2e-40,50.34,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASD10605.1?report=genbank&log$=prottop&blast_rank=68&RID=SJKFDJXZ016"",""ASD10605.1"")"
HNH endonuclease [Pseudomonas phage D3],Pseudomonas phage D3,146,146,91%,2e-40,50.34,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_061574.1?report=genbank&log$=prottop&blast_rank=69&RID=SJKFDJXZ016"",""NP_061574.1"")"
PVL ORF-50-like family protein [Pseudomonas syringae pv. maculicola],Pseudomonas syringae pv. maculicola,149,149,95%,2e-40,48.50,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPB95738.1?report=genbank&log$=prottop&blast_rank=70&RID=SJKFDJXZ016"",""KPB95738.1"")"
hypothetical protein YQ19_19415 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,146,146,91%,2e-40,50.34,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKE70305.1?report=genbank&log$=prottop&blast_rank=71&RID=SJKFDJXZ016"",""AKE70305.1"")"
hypothetical protein [Sphingobium sp. CFD-1],Sphingobium sp. CFD-1,146,146,90%,2e-40,48.41,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_257541053.1?report=genbank&log$=prottop&blast_rank=72&RID=SJKFDJXZ016"",""WP_257541053.1"")"
hypothetical protein [Enterobacter],Enterobacter,145,145,92%,2e-40,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023306755.1?report=genbank&log$=prottop&blast_rank=73&RID=SJKFDJXZ016"",""WP_023306755.1"")"
hypothetical protein [Enterobacter asburiae],Enterobacter asburiae,145,145,93%,3e-40,48.70,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_320704766.1?report=genbank&log$=prottop&blast_rank=74&RID=SJKFDJXZ016"",""WP_320704766.1"")"
hypothetical protein JAB9_47130 [Janthinobacterium sp. HH107],Janthinobacterium sp. HH107,145,145,91%,3e-40,48.34,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OEZ92148.1?report=genbank&log$=prottop&blast_rank=75&RID=SJKFDJXZ016"",""OEZ92148.1"")"
hypothetical protein IPC751_33345 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,145,145,91%,3e-40,50.34,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RUG81063.1?report=genbank&log$=prottop&blast_rank=76&RID=SJKFDJXZ016"",""RUG81063.1"")"
hypothetical protein [Enterobacter asburiae],Enterobacter asburiae,145,145,92%,3e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_229218440.1?report=genbank&log$=prottop&blast_rank=77&RID=SJKFDJXZ016"",""WP_229218440.1"")"
hypothetical protein [Enterobacter roggenkampii],Enterobacter roggenkampii,145,145,92%,4e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317567113.1?report=genbank&log$=prottop&blast_rank=78&RID=SJKFDJXZ016"",""WP_317567113.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,145,145,92%,4e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_032624433.1?report=genbank&log$=prottop&blast_rank=79&RID=SJKFDJXZ016"",""WP_032624433.1"")"
hypothetical protein CTT40_03654 [Pseudomonas aeruginosa],Pseudomonas aeruginosa,147,147,90%,4e-40,50.69,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AXS72225.1?report=genbank&log$=prottop&blast_rank=80&RID=SJKFDJXZ016"",""AXS72225.1"")"
hypothetical protein [Thiobacillus sp.],Thiobacillus sp.,146,146,88%,5e-40,48.00,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEQ1663174.1?report=genbank&log$=prottop&blast_rank=81&RID=SJKFDJXZ016"",""MEQ1663174.1"")"
AP2 domain-containing protein [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,146,146,89%,5e-40,52.05,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054070240.1?report=genbank&log$=prottop&blast_rank=82&RID=SJKFDJXZ016"",""WP_054070240.1"")"
hypothetical protein [Enterobacter cloacae complex],Enterobacter cloacae complex,145,145,93%,5e-40,48.05,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072262751.1?report=genbank&log$=prottop&blast_rank=83&RID=SJKFDJXZ016"",""WP_072262751.1"")"
hypothetical protein [Enterobacter hormaechei],Enterobacter hormaechei,145,145,92%,5e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_180258716.1?report=genbank&log$=prottop&blast_rank=84&RID=SJKFDJXZ016"",""WP_180258716.1"")"
hypothetical protein [Enterobacter cloacae],Enterobacter cloacae,144,144,92%,6e-40,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_347500335.1?report=genbank&log$=prottop&blast_rank=85&RID=SJKFDJXZ016"",""WP_347500335.1"")"
TPA: hypothetical protein [Enterobacter asburiae],Enterobacter asburiae,144,144,92%,6e-40,49.67,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCB1553093.1?report=genbank&log$=prottop&blast_rank=86&RID=SJKFDJXZ016"",""HCB1553093.1"")"
TPA: hypothetical protein [Escherichia coli],Escherichia coli,143,143,90%,8e-40,47.68,172,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFV3875325.1?report=genbank&log$=prottop&blast_rank=87&RID=SJKFDJXZ016"",""HFV3875325.1"")"
TPA: hypothetical protein [Escherichia coli],Escherichia coli,144,144,90%,9e-40,47.68,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBD4715759.1?report=genbank&log$=prottop&blast_rank=88&RID=SJKFDJXZ016"",""HBD4715759.1"")"
hypothetical protein [Sphingomonadales bacterium],Sphingomonadales bacterium,144,144,89%,9e-40,48.61,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK9003496.1?report=genbank&log$=prottop&blast_rank=89&RID=SJKFDJXZ016"",""MBK9003496.1"")"
hypothetical protein [Enterobacter],Enterobacter,144,144,93%,9e-40,48.05,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074171523.1?report=genbank&log$=prottop&blast_rank=90&RID=SJKFDJXZ016"",""WP_074171523.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,143,143,90%,9e-40,47.68,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EIG1271255.1?report=genbank&log$=prottop&blast_rank=91&RID=SJKFDJXZ016"",""EIG1271255.1"")"
TPA: hypothetical protein [Tepidisphaeraceae bacterium],Tepidisphaeraceae bacterium,144,144,91%,1e-39,50.00,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYE19432.1?report=genbank&log$=prottop&blast_rank=92&RID=SJKFDJXZ016"",""HYE19432.1"")"
hypothetical protein [Escherichia coli],Escherichia coli,143,143,90%,1e-39,47.68,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELP3564288.1?report=genbank&log$=prottop&blast_rank=93&RID=SJKFDJXZ016"",""ELP3564288.1"")"
TPA: hypothetical protein [Enterobacter cloacae],Enterobacter cloacae,144,144,92%,1e-39,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HED5620720.1?report=genbank&log$=prottop&blast_rank=94&RID=SJKFDJXZ016"",""HED5620720.1"")"
hypothetical protein [Enterobacter roggenkampii],Enterobacter roggenkampii,144,144,92%,1e-39,48.37,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_131820572.1?report=genbank&log$=prottop&blast_rank=95&RID=SJKFDJXZ016"",""WP_131820572.1"")"
TPA: hypothetical protein [Enterobacter roggenkampii],Enterobacter roggenkampii,144,144,92%,1e-39,49.02,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HJD73570.1?report=genbank&log$=prottop&blast_rank=96&RID=SJKFDJXZ016"",""HJD73570.1"")"
